學校名稱,科系,地址,官方網站
國立高雄科技大學,應用英語系(第一校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,應用日語系(第一校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,應用德語系(第一校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,機械工程系(建工校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,模具工程系(建工校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,化學工程與材料工程系(建工校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,土木工程系(建工校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,工業工程與管理系(建工校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,電機工程系(建工校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,電子工程系(建工校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
